target,description
zarządzanie i adaptacja do zmian klimatu,studia kierunku zarządzanie adaptacja zmian klimatu odpowiedź zapotrzebowanie specjalistów posiadających wiedzę umiejętności zakresu dostosowania różnych gałęzi gospodarki narodowej dynamicznych zmian klimatycznych żywioły ogień woda susza zmiany klimatyczne powodujące topnienie lodowców smog fale upałów degradacje gleby środowiska wyzwania jakim współczesność stawia czoło utworzenie kierunku zgodne wytycznymi unii europejskiej zakresie przystosowania zmian klimatu różnych sektorów gospodarki środowiska studia przygotowują zdobycia praktycznych umiejętności zajęć laboratoryjnych terenowych trakcie odbywania praktyk zawodowych absolwenci uzyskują tytuł inżyniera kandydaci studia osobami wykazującymi troskę jakość życia ziemi kontekście zmian klimatycznych przykładowe przedmioty programie studiów klimatologia ocena ryzyka klimatycznego ekologia biologia ochrona ekosystemów polarnych fenologia synoptyka meteorologiczna ochrona powietrza modelowanie emisji zarządzanie zasobami wód metody zwiększania retencji wodnej ochrona roślin zjawiskami pogodowymi adaptacje organizmów zmian klimatu zielona infrastruktura adaptacje miast zmian klimatu adaptacje zmian klimatu gospodarce przestrzennej odnawialne źródła energii polityka adaptacji zmian klimatu finansowanie działalności proklimatycznej zarządzanie ryzykiem klimatycznym zmiany stylu konsumpcji żywności
zarządzanie jakością w produkcji roślinnej,zarządzanie jakością produkcji roślinnej studia drugiego stopnia przygotowują specjalistów czuwających jakością wytwarzania produktów rolnych roślin studenci poznają podstawy ekonomii zagadnienia prawa kwestie związane utrzymaniem standardów produkcji roślin doskonaleniem przyjęcie studia drugiego stopnia kierunku zarządzanie jakością produkcji roślinnej ubiegać absolwenci studiów pierwszego stopnia kierunku ogrodnictwo rolnictwo zielarstwo terapie roślinne pokrewnego warunkiem posiadania dyplomu inżyniera zgodności realizowanych treści programowych przykładowe przedmioty genetyczne doskonalenie roślin projakościowa uprawa roli roślin chemizacja jakość płodów ogrodniczych nawożenie jakość plonu biologiczne zanieczyszczenia surowców roślinnych ocena jakości surowców roślinnych wdrażanie dokumentowanie szj audyty szj higiena surowców roślinnych zarządzanie jakością systemy jakości produkcji podstawowej towaroznawstwo produktów roślinnych statystyczne sterowanie procesem zarządzanie bezpieczeństwem żywności
zarządzanie kryzysowe w środowisku,kryzysy środowiskowe mnożą rok powodzie wichury susze doświadcza coraz silniej radzić kierunek zarządzanie kryzysowe środowisku zapewnia wykształcenie specjalistów kompetentnych zakresie analizowania czynników meteorologicznych hydrologicznych oceny wpływu komfort miejscowej ludności podejmowania skutecznych decyzji razie wystąpienia zdarzeń niekorzystnych kryzysowych absolwent studiów posiada interdyscyplinarną wiedzę umiejętności odnoszące klasyfikowania zjawisk meteorologicznych hydrologicznych aspekcie potrzeb zarządzania kryzysowego zna odpowiednie procedury organizowania monitoringu wykonywania pomiarów wielkości wrażliwych stan środowiska zna potrafi posługiwać metodami opracowywania danych niezbędnych opracowania diagnozy prognozy zmian potrafi wykorzystać umiejętności podejmowania decyzji działań profilaktycznych organizowania prowadzenia działań ratowniczych likwidacji szkód kierunek osób chcących przekuć wiedzę działanie problemu przedmiotami ścisłymi przykładowe przedmioty realizowane zarządzaniu kryzysowym środowisku matematyka elementami statystyki fizyka podstawy kartografii topografii meteorologia elementami klimatologii hydrologia geografia fizyczna organizacja monitoringu środowiska organizacja łączności opracowania danych wprowadzenie geoinformacji infrastruktura komunikacji lądowej pomiary geodezyjne hydrologii meteorologii mechanika techniczna mechanika płynów ekstremalne zjawiska pogodowe gis metody wizualizacji danych przestrzennych specjalistyczne systemy informatyczne cad geochemia środowiska metody obrazowania ziemi teledetekcja gis metody wizualizacji danych przestrzennych infrastruktura obszarów zurbanizowanych
zarządzanie ochroną środowiska,zarządzanie ochroną środowiska innowacyjny menadżerski interdyscyplinarny kierunek studiów kandydatów interesują ochroną środowiska kontekście zarządzania zasobami środowiska ochrony komponentów osoby zainteresowane przywództwem rozwojem kompetencji miękkich znajdą przestrzeń rozwoju oferowanych studiach przygotowują kadrę menadżerską absolwent kierunku zarządzanie ochroną środowiska dysponuje interdyscyplinarną wiedzą obszaru zarządzania ochronie środowiska organizacji zarządzania bezpieczeństwa energetycznego odnawialnych źródeł energii polityki społecznej problemów kwestii społecznych związanych ochroną środowiska przygotowany podejmowania wyzwań pracy stanowiskach związanych realizacją zadań jednostkach zajmujących zarządzaniem ochronie środowiska potrafi budować plany strategiczne operacyjne odnoszące potrzeb problemów oczekiwań jednostek grup społeczności lokalnych tworzy dokumenty strategiczne plany rozwoju raporty opracowuje programy pracy zawodowej wykorzystuje kompetencje administracyjne nowe technologie potrafi zarządzać zespołem pracowników jednostkami organizacyjnymi wyposażony umiejętności pozwalające pracę sytuacjach kryzysowych kompetencje bycia organizacji zajmujących ochroną środowiska działających samych sferach jednostki rządowe samorządowe kandydatem studia absolwent studiów pierwszego stopnia kierunków pokrewnych procesu rekrutacji podejść absolwenci kierunków stopnia rozwiązanie poprzez zastosowanie bloku zajęć uzupełniających absolwentów kierunków wybrane przedmioty studiach podstawy prawne ochrony środowiska konwencjonalne alternatywne źródła energii metody ograniczania emisji zanieczyszczeń środowiska współczesne zmiany klimatyczne metodyka design thinking edukacja ekologiczna inicjatywach społecznych monitoring środowiska ochrona przyrody zarządzanie projektami oś rozwój zrównoważony
zarządzanie ochroną środowiska przyrodniczego,funkcjonują ekosystemy poziomie molekularnym gatunkowym siedliskowym zarządzać pracownikami przeprowadzać audyt środowiskowy odpowiedzi podobne pytania przyniesie zarządzanie ochroną środowiska przyrodniczego studia łączą wiedzę biologiczną zagadnieniami zakresu zarządzania prawa ekonomii studenci zarządzania ochroną środowiska przyrodniczego uczą kierunek osób aktywnie zainteresowanych przyrodą pragną rozwijać zainteresowania zakresie ochrony środowiska przyrodniczego ludzi przykładowe przedmioty zarządzaniu ochroną środowiska przyrodniczego zróżnicowanie świata zwierząt gatunki inwazyjne świecie zwierząt fizjologia stresu roślin mikrobiologia środowiskowa barkoding dna chemia środowiskowa rewitalizacja obszarów zdegradowanych prawo ochrony środowiska zarządzanie projektami świadczenia usług ekosystemowych programowanie ocena inwestycji ochronie środowiska
zarządzanie techniką,absolwent studiów zarządzanie techniką otrzyma szeroki zakres wiedzy zakresu nauk technicznych biologicznych przyrodniczych ekonomicznych znając narzędzia informatyczne atrakcyjnym absolwentem biznesu przedsiębiorstw produkcyjnych handlowych administracji samorządowej średnich wyższych szkół zawodowych firm doradczych propozycja jednej strony przyszłych inżynierów osób predyspozycjach technicznych umysłach ścisłych drugiej kandydatów posiadających żyłkę biznesową przedsiębiorczych kreatywnych zaradnych programie studiów znajdują zagadnienia zakresu nauk technicznych biologicznych przyrodniczych ekonomicznych wykorzystując narzędzia informatyczne atrakcyjnym absolwentem biznesu przedsiębiorstw produkcyjnych handlowych administracji samorządowej średnich wyższych szkół zawodowych firm doradczych
zarządzanie w biobiznesie,zarządzanie biobiznesie studia charakterze interdyscyplinarnym celem studiów uzyskanie absolwenta wszechstronnej wiedzy umiejętności potrzebnych menedżerom przyszłym właścicielom firm funkcjonujących biogospodarce zarządzanie biobiznesie zapewnia szeroki szczegółowy wgląd teorię praktykę przedsiębiorczości biznesu realizując interdyscyplinarny program studiów studenci poznają ekonomiczny ekologiczny technologiczny społeczny wymiar biogospodarki poziomie mikro makro absolwenci dysponować umiejętnościami zarządczymi niezbędnymi rozwijania wykonywania różnorodnych przedsięwzięć ramach modelu gospodarki opartej bioprocesach kandydaci wykazywać zainteresowanie zagadnieniami zakresu biogospodarki szczególnym uwzględnieniem biotechnologii branży life science wybrane przedmioty programie studiów bioekonomia polityka pieniężna przedsiębiorczość biobiznesie zarządzanie przedsiębiorstwem finanse przedsiębiorstwa konkurencyjność podmiotów biobiznesu rachunkowość podatkowa kompetencje interpersonalne menedżera biobiznesu alianse strategiczne biobiznesie ekonomika środowiska zasobów naturalnych projektowanie produkcja biopreparatów
zarządzanie w produkcji i przetwórstwie mleka,zarządzanie produkcji przetwórstwie mleka nowoczesny interdyscyplinarny kierunek studiów obejmuje zadnienia związane pozyskiwaniem surowców mleczarskich oceną jakości mleka technologią produkcji podstawowych produktów mlecznych zagospodarowaniem opadów ścieków poprodukcyjnych studenci uczą organizować nadzorować procesy produkcji mleka podstawowych produktów mleczarskich projektować linie technologiczne opracowywać technologie produkcji nowego wyrobu wdrażać systemy zarządzania bezpieczeństwem jakością zakładach mleczarskich studia realizowane poziomie drugiego stopnia przyjęcia kierunek ubiegać absolwenci konkretnych studiów licencjackich inżynierskich wybrane przedmioty programie kształcenia technologie produkcji surowca mleczarskiego procesy biotechnologiczne mleczarstwie technologia produkcji mleka spożywczego produktów wysokotłuszczowych serowarstwo technologia produkcji napojów fermentowanych zarządzanie jakością bezpieczeństwem przemyśle mleczarskim zarządzanie systemem logistycznym przemyśle mleczarskim strategie marketingowe przemyśle mleczarskim
zarządzanie zasobami przyrody,studia kierunku zarządzanie zasobami przyrody kształcą specjalistów zakresu ochrony środowiska program kształcenia łączy zagadnienia związane naukami biologicznymi ekologią naukami ekonomicznymi zarządzaniem aspektami społecznymi zarządzanie zasobami przyrody studia drugiego stopnia realizowane trybie stacjonarnym studentami kierunku zostać absolwenci studiów licencjackich inżynierskich obejmujących obszary wiedzy ochrona środowiska biologia ekologia zarządzanie nauki społeczne studenci zarządzania zasobami przyrody zdobywają specjalistyczną wiedzę zakresu ochrony środowiska tacy specjaliści obecnie potrzebni rynku pracy szczególnie sektorach administracja państwowa przemysł consulting ochrona przyrody propozycja kandydatów zainteresowaniach naukami przyrodniczymi świadomych ograniczoność zasobów natury zdobytą wiedzę chcą spożytkować ochronę walorów przyrody program studiów składa modułów kształcenia zostały dobrane absolwenci opanował podstawy prawne regulujące ochronę środowiska polsce ue system ochrony przyrody polsce
zarządzanie środowiskiem,studia kierunku zarządzanie środowiskiem zajmują użytkowaniem ochroną kształtowaniem środowiska wyposażyć wiedzę dotyczącą zagadnień studenci poznają komponenty środowiska przyrodniczego badają zachodzące tymi komponentami interakcje relacje człowieka środowiskiem trakcie ćwiczeń praktycznych terenowych studenci zapoznają nowoczesnymi metodami pozyskiwania danych środowiskowych uczą interpretacji ważną częścią procesu dydaktycznego zajęcia laboratoryjne studenci nabywają wiedzę umiejętności zakresu innymi technologii gis interpretacji map tematycznych zdjęć lotniczych obrazów satelitarnych studia ii stopnia prowadzone trybie stacjonarnym kierunek studiów osób pasjonujących naukami przyrodniczymi głównie biologią chemią geografią wrażliwych problemy związane ochroną przyrody intersujących problematyką zrównoważonego rozwoju środowiska przyrodniczego programie studiów znajdziemy przedmioty kartografia topografia matematyka statystyka zasoby ochrona litosfery zasoby ochrona atmosfery zasoby ochrona hydrosfery systemy informacji geograficznej badaniach środowiska teledetekcja analizy statystyczne ochronie środowiska fizyka chemia ziemi prawo ochronie środowiska zróżnicowanie regionalne polski rozwój planowanie miast ekomarketing biologia środowiska edukacja środowiskowa ekonomia geologia gleboznawstwo ochrona środowiska podstawy gospodarki przestrzennej ekologiczny cykl życia finansowanie rozwiązań proekologicznych globalizacja hydrologia hydrogeologia
